"cl"	"cluster_id"	"cluster_id_label"	"supertype_id"	"supertype_label"	"supertype_id_label"	"subclass_id"	"subclass_label"	"subclass_id_label"	"class_label"	"class_id"	"class_id_label"	"anatomical_annotation"	"notes"	"CCF_broad.freq"	"CCF_acronym.freq"	"v3.size"	"v2.size"	"multiome.size"	"cluster.markers"	"merfish.markers"	"F"	"M"	"sex.bias"	"Dark"	"Light"	"nt_type_label"	"nt_type_combo_label"
126	11	"0011 IT EP-CLA Glut_1"	3	"IT EP-CLA Glut_1"	"0003 IT EP-CLA Glut_1"	2	"IT EP-CLA Glut"	"002 IT EP-CLA Glut"	"IT-ET Glut"	1	"01 IT-ET Glut"	"CLA"	NA	"Isocortex:0.48,CTXsp:0.47"	"CLA:0.46,GU6a:0.1,AId6a:0.09,AIv5:0.06,AIp6a:0.05,VISC6a:0.04"	651	868	0	"Gm6209,C1ql3,Zfhx4,Lpl,Nr4a2"	"Osr1,C1ql3,Zfhx4,Vwc2l,Lpl,Rgs6"	0.5	0.5	""	0.1	0.9	"Glut"	"Glut"
127	12	"0012 IT EP-CLA Glut_1"	3	"IT EP-CLA Glut_1"	"0003 IT EP-CLA Glut_1"	2	"IT EP-CLA Glut"	"002 IT EP-CLA Glut"	"IT-ET Glut"	1	"01 IT-ET Glut"	"CLA-iCTX"	NA	"Isocortex:0.85"	"SSs6a:0.13,GU6a:0.12,MOp6a:0.1,CLA:0.09,AId6a:0.09,VISC6a:0.06,MOs6a:0.03,SSp-m6a:0.03,AIp6a:0.03,scwm:0.02,SSs6b:0.02,AIp5:0.02,TEa5:0.01,AUDv5:0.01,AUDv6a:0.01,PL6a:0.01"	155	835	0	"Gm6209,Fst,Ctsc"	"Osr1,Oprk1,Zfhx4,Adamts2,Rxfp1"	0.46	0.54	""	0.04	0.96	"Glut"	"Glut"
117	13	"0013 IT EP-CLA Glut_2"	4	"IT EP-CLA Glut_2"	"0004 IT EP-CLA Glut_2"	2	"IT EP-CLA Glut"	"002 IT EP-CLA Glut"	"IT-ET Glut"	1	"01 IT-ET Glut"	"EPd"	NA	"CTXsp:0.56,Isocortex:0.29"	"EPd:0.5,AIp6a:0.08,VISC6a:0.06,ENTl6a:0.05,CLA:0.04,ec:0.04,ECT6a:0.03,VISC6b:0.03"	56	266	0	"Txk,Sfrp2"	"Ccn3,Piezo2,Col24a1,Adcyap1,Bmp3"	0.55	0.45	""	0.07	0.93	"Glut"	"Glut"
118	14	"0014 IT EP-CLA Glut_2"	4	"IT EP-CLA Glut_2"	"0004 IT EP-CLA Glut_2"	2	"IT EP-CLA Glut"	"002 IT EP-CLA Glut"	"IT-ET Glut"	1	"01 IT-ET Glut"	"EPd-EPv po"	NA	"CTXsp:0.36,RHP:0.36,Isocortex:0.15"	"EPd:0.32,ENTl6a:0.25,ENTl5:0.11,AIp6a:0.05,ECT6a:0.04,ec:0.04"	136	713	0	"1700023F02Rik,Rab38,Chst9,Vmn2r87"	"Osr1,Dio3,Oprk1,Fibcd1"	0.51	0.49	""	0.07	0.93	"Glut"	"Glut"
119	15	"0015 IT EP-CLA Glut_2"	4	"IT EP-CLA Glut_2"	"0004 IT EP-CLA Glut_2"	2	"IT EP-CLA Glut"	"002 IT EP-CLA Glut"	"IT-ET Glut"	1	"01 IT-ET Glut"	"EPd-EPv po"	NA	"CTXsp:0.35,RHP:0.32,Isocortex:0.21"	"EPd:0.32,ENTl6a:0.24,ENTl5:0.08,VISC6a:0.06,ec:0.06,ee:0.06"	50	254	0	"Osr1,Onecut1,Egr2"	"Osr1,Dlk1,Egr2,Fibcd1"	0.56	0.44	""	0.06	0.94	"Glut"	"Glut"
148	16	"0016 IT EP-CLA Glut_2"	4	"IT EP-CLA Glut_2"	"0004 IT EP-CLA Glut_2"	2	"IT EP-CLA Glut"	"002 IT EP-CLA Glut"	"IT-ET Glut"	1	"01 IT-ET Glut"	"EPv"	NA	"OLF:0.45,CTXsp:0.34,Isocortex:0.14"	"EPd:0.24,AON:0.18,PIR:0.16,CLA:0.06,OLF:0.06,AIp6a:0.03,CTXsp:0.03,AIp5:0.02,TTd:0.02"	160	280	0	"Adgrd1,Npsr1,Egr2,Rorb,Ccdc80"	"Ccn3,Npsr1,Egr2,Lpl,Adcyap1,Bcl11b"	0.51	0.49	""	0.08	0.92	"Glut"	"Glut"
149	17	"0017 IT EP-CLA Glut_2"	4	"IT EP-CLA Glut_2"	"0004 IT EP-CLA Glut_2"	2	"IT EP-CLA Glut"	"002 IT EP-CLA Glut"	"IT-ET Glut"	1	"01 IT-ET Glut"	"EPv"	NA	"CTXsp:0.66,OLF:0.18"	"EPd:0.53,PIR:0.1,EPv:0.06,TR:0.05,CTXsp:0.04,CLA:0.03"	702	816	0	"Osr1,Npsr1,Rcan3,Tpbgl"	"Osr1,Npsr1,Tacr3,Tacr1,Adamts2"	0.56	0.44	""	0.1	0.9	"Glut"	"Glut"
159	18	"0018 IT EP-CLA Glut_3"	5	"IT EP-CLA Glut_3"	"0005 IT EP-CLA Glut_3"	2	"IT EP-CLA Glut"	"002 IT EP-CLA Glut"	"IT-ET Glut"	1	"01 IT-ET Glut"	"EPv extension?"	NA	"CTXsp:0.64,OLF:0.31"	"EPv:0.29,PIR:0.24,BMAa:0.19,BLAa:0.09"	105	191	0	"Gm49171,Col14a1,Gm12031,Zan"	"Rxfp1,Npsr1,Npy2r,Ebf1,Kcng1,Trpc7"	0.49	0.51	""	0.1	0.9	"Glut"	"Glut"
160	19	"0019 IT EP-CLA Glut_3"	5	"IT EP-CLA Glut_3"	"0005 IT EP-CLA Glut_3"	2	"IT EP-CLA Glut"	"002 IT EP-CLA Glut"	"IT-ET Glut"	1	"01 IT-ET Glut"	"EPv extension?"	NA	"OLF:0.54,CTXsp:0.4"	"PIR:0.49,EPv:0.17,EPd:0.16"	175	236	0	"Gm49906,Bace2,Adarb2,Pparg"	"Rxfp1,Npsr1,Sox6,Pparg"	0.59	0.41	""	0.1	0.9	"Glut"	"Glut"
162	20	"0020 IT EP-CLA Glut_3"	5	"IT EP-CLA Glut_3"	"0005 IT EP-CLA Glut_3"	2	"IT EP-CLA Glut"	"002 IT EP-CLA Glut"	"IT-ET Glut"	1	"01 IT-ET Glut"	"EPv extension?"	NA	"OLF:0.53,CTXsp:0.42"	"PIR:0.42,EPv:0.32,EPd:0.07"	32	59	0	"A830029E22Rik,Col14a1,Egr2"	"Rxfp1,Sox6,Egr2,Npsr1"	0.69	0.31	""	0.12	0.88	"Glut"	"Glut"
123	21	"0021 IT EP-CLA Glut_4"	6	"IT EP-CLA Glut_4"	"0006 IT EP-CLA Glut_4"	2	"IT EP-CLA Glut"	"002 IT EP-CLA Glut"	"IT-ET Glut"	1	"01 IT-ET Glut"	"EPd an"	NA	"OLF:0.56,CTXsp:0.26"	"PIR:0.27,OLF:0.26,EPd:0.24,ORBl2/3:0.08"	145	173	0	"Blnk,Igf1,Medag,Ntn4"	"Npsr1,Igfbp6,Ighm,A830036E02Rik,Pdzrn3"	0.61	0.39	""	0.07	0.93	"Glut"	"Glut"
124	22	"0022 IT EP-CLA Glut_4"	6	"IT EP-CLA Glut_4"	"0006 IT EP-CLA Glut_4"	2	"IT EP-CLA Glut"	"002 IT EP-CLA Glut"	"IT-ET Glut"	1	"01 IT-ET Glut"	"AON-DP"	NA	"OLF:0.75,Isocortex:0.13"	"AON:0.38,OLF:0.22,PIR:0.09,EPd:0.08,DP:0.04"	65	281	0	"Gm40518,4833415N18Rik,Gm41414"	"Lsp1,Npsr1,Rspo2"	0.54	0.46	""	0.06	0.94	"Glut"	"Glut"
97	23	"0023 L5/6 IT TPE-ENT Glut_1"	7	"L5/6 IT TPE-ENT Glut_1"	"0007 L5/6 IT TPE-ENT Glut_1"	3	"L5/6 IT TPE-ENT Glut"	"003 L5/6 IT TPE-ENT Glut"	"IT-ET Glut"	1	"01 IT-ET Glut"	"TPE-AI-PFC, BMA"	NA	"Isocortex:0.73,CTXsp:0.14"	"AId5:0.06,ENTl5:0.06,AId2/3:0.05,MOs2/3:0.04,EPv:0.04,PL2/3:0.04,VISC5:0.04,PIR:0.03,ECT5:0.03,BLAv:0.03,AIp5:0.03,BLAa:0.03,ECT2/3:0.03,MOp5:0.03,AIp2/3:0.03,MOs5:0.02,TEa4:0.02,TEa5:0.02,MOp2/3:0.02,ORBm2/3:0.02,ILA2/3:0.01,GU4:0.01,VISC4:0.01,AIv5:0.01,PL5:0.01,PERI5:0.01,GU2/3:0.01,VISpor2/3:0.01,ACAd2/3:0.01,PERI2/3:0.01,ORBl5:0.01"	101	716	0	"Gm39822,Trdn,Inhbb,Tmem40"	"Cyp26b1,Egln3,Rxfp1,Ccn3,Scn5a"	0.36	0.64	""	0.06	0.94	"Glut"	"Glut"
115	24	"0024 L5/6 IT TPE-ENT Glut_1"	7	"L5/6 IT TPE-ENT Glut_1"	"0007 L5/6 IT TPE-ENT Glut_1"	3	"L5/6 IT TPE-ENT Glut"	"003 L5/6 IT TPE-ENT Glut"	"IT-ET Glut"	1	"01 IT-ET Glut"	"ENTl"	NA	"RHP:0.63,Isocortex:0.18"	"ENTl5:0.35,ENTl6a:0.24,TR:0.07,ECT5:0.06,ECT6a:0.03,EPd:0.03,ec:0.03"	49	702	0	"Ighg2c,Dcn,Satb2"	"Dcn,Arhgap25,Rorb,Tshz2"	0.47	0.53	""	0.03	0.97	"Glut"	"Glut"
165	25	"0025 L5/6 IT TPE-ENT Glut_1"	7	"L5/6 IT TPE-ENT Glut_1"	"0007 L5/6 IT TPE-ENT Glut_1"	3	"L5/6 IT TPE-ENT Glut"	"003 L5/6 IT TPE-ENT Glut"	"IT-ET Glut"	1	"01 IT-ET Glut"	"ENTl"	NA	"RHP:0.67,Isocortex:0.33"	"ENTl5:0.47,ECT5:0.15,PERI5:0.1,ENTl3:0.09"	70	442	0	"Dcn,1700047F07Rik,Sfrp1"	"Dcn,Cyp26b1,Rorb,Gpr88,Pparg"	0.45	0.55	""	0.05	0.95	"Glut"	"Glut"
111	26	"0026 L5/6 IT TPE-ENT Glut_2"	8	"L5/6 IT TPE-ENT Glut_2"	"0008 L5/6 IT TPE-ENT Glut_2"	3	"L5/6 IT TPE-ENT Glut"	"003 L5/6 IT TPE-ENT Glut"	"IT-ET Glut"	1	"01 IT-ET Glut"	"AI-TPE-VISpor-PL"	"HZ: reassign some cells?"	"Isocortex:0.9"	"TEa5:0.12,ECT5:0.09,VISC5:0.07,VISpor5:0.05,PL5:0.05,AUDv5:0.04,SSs5:0.03,AId5:0.03,AIp5:0.03,PL2/3:0.03,ENTm5:0.02,GU5:0.02,ENTl6a:0.02,ACAv5:0.02,TEa6a:0.02,VISpl5:0.02,ECT6a:0.02,ILA5:0.02,ORBm5:0.01,VISC6a:0.01,ENTl5:0.01,GU4:0.01,ORBm2/3:0.01,ILA2/3:0.01,AIv5:0.01,SSs6a:0.01,AId6a:0.01,PL6a:0.01,PERI5:0.01"	751	2624	0	"Prss22,Il1rapl2,Fgf11,Met,Gxylt2,C1ql3,Bmpr1b,Scml4"	"Ccn3,Cbln1,Met,Bmpr1b,Tafa1,Crym,Rprm,Trpc7"	0.37	0.63	""	0.11	0.89	"Glut"	"Glut"
147	27	"0027 L5/6 IT TPE-ENT Glut_2"	8	"L5/6 IT TPE-ENT Glut_2"	"0008 L5/6 IT TPE-ENT Glut_2"	3	"L5/6 IT TPE-ENT Glut"	"003 L5/6 IT TPE-ENT Glut"	"IT-ET Glut"	1	"01 IT-ET Glut"	"ENTl"	NA	"RHP:0.64,Isocortex:0.33"	"ENTl5:0.32,ENTl6a:0.11,ENTm5:0.08,TEa5:0.06,ENTm6:0.05,ECT5:0.05,PERI5:0.02,VISpor5:0.02,ENTl3:0.02,AUDv5:0.01,ECT2/3:0.01,VISpl5:0.01,PERI2/3:0.01"	147	592	0	"A830029E22Rik,Dcn,Adamts1,Fibcd1"	"Dcn,Rxfp1,Egr2,Fibcd1,Cbln1"	0.47	0.53	""	0.08	0.92	"Glut"	"Glut"
158	28	"0028 L5/6 IT TPE-ENT Glut_2"	8	"L5/6 IT TPE-ENT Glut_2"	"0008 L5/6 IT TPE-ENT Glut_2"	3	"L5/6 IT TPE-ENT Glut"	"003 L5/6 IT TPE-ENT Glut"	"IT-ET Glut"	1	"01 IT-ET Glut"	"TPE po"	NA	"Isocortex:0.82"	"TEa5:0.12,PL5:0.06,VISpor5:0.06,ECT5:0.06,ENTm5:0.06,ACAv5:0.05,ENTl6a:0.03,VISpl5:0.03,APr:0.03,ENTl5:0.02,PL2/3:0.02,PL6a:0.02,AUDv5:0.02,ORBm5:0.02,VISC5:0.02,VISli5:0.02,ACAd5:0.01,ACAd6a:0.01,ACAv6a:0.01,AId6a:0.01,AUDp5:0.01,ILA5:0.01,ORBvl5:0.01,SSs5:0.01,ORBm2/3:0.01,RSPd5:0.01,TEa6a:0.01,VISp5:0.01,ILA2/3:0.01,ORBm6a:0.01,VISpor2/3:0.01,AId5:0.01,AIp6a:0.01"	66	483	0	"Lipg,Lncbate10,Pamr1,Drd1"	"Rxfp1,Egr2,Kit,Wnt7b,Drd1,Lhx2,Shroom3"	0.45	0.55	""	0.06	0.94	"Glut"	"Glut"
114	29	"0029 L5/6 IT TPE-ENT Glut_3"	9	"L5/6 IT TPE-ENT Glut_3"	"0009 L5/6 IT TPE-ENT Glut_3"	3	"L5/6 IT TPE-ENT Glut"	"003 L5/6 IT TPE-ENT Glut"	"IT-ET Glut"	1	"01 IT-ET Glut"	"AI-TPE"	NA	"Isocortex:0.98"	"TEa5:0.11,GU5:0.1,SSs5:0.09,SSs6a:0.08,VISC5:0.07,TEa6a:0.05,VISC6a:0.04,AUDv5:0.04,ILA5:0.04,AId5:0.04,AId6a:0.04,AUDv6a:0.03,GU6a:0.03,AIp5:0.03,ECT5:0.02"	388	2514	0	"4930407I19Rik,Satb2,Crispld2,Chst9"	"Smoc2,Drd1,Galnt14,Npy2r,Fras1,Oprk1,Lpl"	0.43	0.57	""	0.06	0.94	"Glut"	"Glut"
145	30	"0030 L5/6 IT TPE-ENT Glut_4"	10	"L5/6 IT TPE-ENT Glut_4"	"0010 L5/6 IT TPE-ENT Glut_4"	3	"L5/6 IT TPE-ENT Glut"	"003 L5/6 IT TPE-ENT Glut"	"IT-ET Glut"	1	"01 IT-ET Glut"	"ENTl-ENTm po"	NA	"RHP:0.85"	"ENTl5:0.31,ENTl6a:0.18,ENTm5:0.14,ENTm6:0.14,TEa5:0.04"	229	1562	0	"Dcn,Prss22,Fibcd1,Kirrel3,Stra6"	"Dcn,Rxfp1,Pou6f2,Fibcd1,C1ql3,Dach1"	0.39	0.61	""	0.05	0.95	"Glut"	"Glut"
146	31	"0031 L5/6 IT TPE-ENT Glut_5"	11	"L5/6 IT TPE-ENT Glut_5"	"0011 L5/6 IT TPE-ENT Glut_5"	3	"L5/6 IT TPE-ENT Glut"	"003 L5/6 IT TPE-ENT Glut"	"IT-ET Glut"	1	"01 IT-ET Glut"	"RSPagl-VISpl"	NA	"Isocortex:0.93"	"RSPagl2/3:0.21,VISpl2/3:0.15,VISpl5:0.14,RSPd2/3:0.08,RSPd5:0.07,VISpl1:0.06,ACAv5:0.05,RSPagl5:0.04"	47	178	0	"Susd5,Gm31698,Tnxb,Met,Trhr"	"Met,Grp,Trhr,Pou6f2,Gda"	0.32	0.68	""	0.12	0.88	"Glut"	"Glut"
155	32	"0032 L5/6 IT TPE-ENT Glut_6"	12	"L5/6 IT TPE-ENT Glut_6"	"0012 L5/6 IT TPE-ENT Glut_6"	3	"L5/6 IT TPE-ENT Glut"	"003 L5/6 IT TPE-ENT Glut"	"IT-ET Glut"	1	"01 IT-ET Glut"	"PAR"	"HZ: ?"	"RHP:1"	"PAR:0.38,PRE:0.38,SUB:0.15"	20	173	0	"Osr1,Esr2,9630002D21Rik,Dcn"	"Osr1,Tacr1,Tshz2"	0.52	0.48	""	0.02	0.98	"Glut"	"Glut"
101	33	"0033 L6 IT CTX Glut_1"	13	"L6 IT CTX Glut_1"	"0013 L6 IT CTX Glut_1"	4	"L6 IT CTX Glut"	"004 L6 IT CTX Glut"	"IT-ET Glut"	1	"01 IT-ET Glut"	"ACAv"	"HZ: close to L6 IT"	"Isocortex:0.97"	"ACAv5:0.34,ACAv6a:0.13,ACAd6a:0.09,RSPagl5:0.07,RSPd5:0.06,PL6a:0.05,ACAd5:0.05,PL5:0.04"	170	967	0	"4933406J09Rik,Cntnap3,Dpp10,Osr1,Trbc2"	"Osr1,Cntnap3,Sv2b,Ramp3,Nptx2"	0.51	0.49	""	0.09	0.91	"Glut"	"Glut"
103	34	"0034 L6 IT CTX Glut_1"	13	"L6 IT CTX Glut_1"	"0013 L6 IT CTX Glut_1"	4	"L6 IT CTX Glut"	"004 L6 IT CTX Glut"	"IT-ET Glut"	1	"01 IT-ET Glut"	"PL-ACAv"	NA	"Isocortex:0.95"	"ACAv5:0.17,PL6a:0.16,ACAv6a:0.1,ACAd6a:0.09,MOs6a:0.06,ILA6a:0.04,ILA5:0.04,PL5:0.03,RSPd6a:0.03,RSPv5:0.03,CLA:0.02,ORBm6a:0.02"	975	3240	0	"Blnk,Alkal1,Ccdc3,Npy2r,Rxfp1,Gm10754"	"Ccdc3,Osr1,Grik3,Ramp3,Rxfp1,Npy2r,Man1a"	0.42	0.58	""	0.09	0.91	"Glut"	"Glut"
104	35	"0035 L6 IT CTX Glut_1"	13	"L6 IT CTX Glut_1"	"0013 L6 IT CTX Glut_1"	4	"L6 IT CTX Glut"	"004 L6 IT CTX Glut"	"IT-ET Glut"	1	"01 IT-ET Glut"	"PL-ACAv"	NA	"Isocortex:1"	"ACAv5:0.28,PL6a:0.18,PL5:0.12,ACAv6a:0.08,ACAd6a:0.07,RSPagl5:0.05,RSPv5:0.04"	234	819	0	"Osr1,Rxfp1,Rab38,Ccdc3,Cpne7"	"Osr1,Rxfp1,Dmrt2,Sntg2,Parm1"	0.38	0.62	""	0.11	0.89	"Glut"	"Glut"
113	36	"0036 L6 IT CTX Glut_1"	13	"L6 IT CTX Glut_1"	"0013 L6 IT CTX Glut_1"	4	"L6 IT CTX Glut"	"004 L6 IT CTX Glut"	"IT-ET Glut"	1	"01 IT-ET Glut"	"AI-PL"	NA	"Isocortex:0.83"	"AId6a:0.11,PL6a:0.1,SSs6a:0.1,GU6a:0.09,CLA:0.08,ACAd6a:0.06,MOp6a:0.06,MOs6a:0.05,ACAv6a:0.03,SSp-m6a:0.03,VISC6a:0.03,CP:0.02,fa:0.02,ILA5:0.01,ORBm6a:0.01,VISC6b:0.01"	452	2485	0	"Gm6209,Npy,4833415N18Rik,Pcdh15,Ccdc3"	"Osr1,Chrm2,Col27a1,Gfra1,Ccdc3,Syt17"	0.4	0.6	""	0.06	0.94	"Glut"	"Glut"
