ens,symbol,allenGenes
ENSMUSG00000003518,Dusp3,Dusp3
ENSMUSG00000010841,Cfap97d1,Cfap97d1
ENSMUSG00000052373,Mpp3,Mpp3
ENSMUSG00000087216,E130111B04Rik,E130111B04Rik
ENSMUSG00000017309,Cd300lg,Cd300lg
ENSMUSG00000017314,Mpp2,Mpp2
ENSMUSG00000017316,Ppy,Ppy
ENSMUSG00000017311,Pyy,Pyy
ENSMUSG00000048217,Nags,Nags
ENSMUSG00000087339,Gm11586,Gm11586
ENSMUSG00000020921,Tmem101,Tmem101
ENSMUSG00000020922,Lsm12,Lsm12
ENSMUSG00000034793,G6pc3,G6pc3
ENSMUSG00000008855,Hdac5,Hdac5
ENSMUSG00000034773,BC030867,BC030867
ENSMUSG00000034768,Asb16,Asb16
ENSMUSG00000034757,Tmub2,Tmub2
ENSMUSG00000059995,Atxn7l3,Atxn7l3
ENSMUSG00000020923,Ubtf,Ubtf
ENSMUSG00000006574,Slc4a1,Slc4a1
ENSMUSG00000087330,Bloodlinc,Bloodlinc
ENSMUSG00000006575,Rundc3a,Rundc3a
ENSMUSG00000018677,Slc25a39,Slc25a39
ENSMUSG00000034708,Grn,Grn
ENSMUSG00000034685,Fam171a2,Fam171a2
ENSMUSG00000034664,Itga2b,Itga2b
ENSMUSG00000034621,Gpatch8,Gpatch8
ENSMUSG00000078640,Gm11627,Gm11627
ENSMUSG00000050288,Fzd2,Fzd2
ENSMUSG00000086105,Gm11636,Gm11636
ENSMUSG00000086283,2810433D01Rik,2810433D01Rik
ENSMUSG00000051455,Meioc,Meioc
ENSMUSG00000020925,Ccdc43,Ccdc43
ENSMUSG00000020926,Adam11,Adam11
ENSMUSG00000034520,Gjc1,Gjc1
ENSMUSG00000020928,Higd1b,Higd1b
ENSMUSG00000020929,Eftud2,Eftud2
ENSMUSG00000020930,Ccdc103,Ccdc103
ENSMUSG00000075510,Fam187a,Fam187a
ENSMUSG00000020932,Gfap,Gfap
ENSMUSG00000051378,Kif18b,Kif18b
ENSMUSG00000045532,C1ql1,C1ql1
ENSMUSG00000085338,2410004I01Rik,2410004I01Rik
ENSMUSG00000020935,Dcakd,Dcakd
ENSMUSG00000020936,Nmt1,Nmt1
ENSMUSG00000020937,Plcd3,Plcd3
ENSMUSG00000056938,Acbd4,Acbd4
ENSMUSG00000048878,Hexim1,Hexim1
ENSMUSG00000043372,Hexim2,Hexim2
ENSMUSG00000055805,Fmnl1,Fmnl1
ENSMUSG00000092371,Gm20511,Gm20511
ENSMUSG00000020940,1700023F06Rik,1700023F06Rik
ENSMUSG00000044787,Spata32,Spata32
ENSMUSG00000020941,Map3k14,Map3k14
ENSMUSG00000078635,1700028N14Rik,1700028N14Rik
ENSMUSG00000034255,Arhgap27,Arhgap27
ENSMUSG00000085887,Arhgap27os3,Arhgap27os3
ENSMUSG00000085360,Arhgap27os2,Arhgap27os2
ENSMUSG00000085733,Arhgap27os1,Arhgap27os1
ENSMUSG00000034247,Plekhm1,Plekhm1
ENSMUSG00000110636,Gm39397,Gm39397
ENSMUSG00000078632,Lrrc37a,Lrrc37a
ENSMUSG00000034239,Gm884,Gm884
ENSMUSG00000020945,Lyzl6,Lyzl6
ENSMUSG00000046215,Rprml,Rprml
ENSMUSG00000020946,Gosr2,Gosr2
ENSMUSG00000085154,C130046K22Rik,C130046K22Rik
ENSMUSG00000086794,Gm11642,Gm11642
ENSMUSG00000018486,Wnt9b,Wnt9b
ENSMUSG00000000125,Wnt3,Wnt3
ENSMUSG00000034187,Nsf,Nsf
ENSMUSG00000062421,Arf2,Arf2
ENSMUSG00000018634,Crhr1,Crhr1
ENSMUSG00000049506,Sppl2c,Sppl2c
ENSMUSG00000018411,Mapt,Mapt
ENSMUSG00000085134,Gm11659,Gm11659
ENSMUSG00000018412,Kansl1,Kansl1
ENSMUSG00000020687,Cdc27,Cdc27
ENSMUSG00000061086,Myl4,Myl4
ENSMUSG00000086222,Gm11665,Gm11665
ENSMUSG00000086932,Gm22000,Gm22000
ENSMUSG00000020689,Itgb3,Itgb3
ENSMUSG00000040838,Gm11639,Gm11639
ENSMUSG00000020690,Efcab3,Efcab3
ENSMUSG00000020691,Mettl2,Mettl2
ENSMUSG00000099681,1700052K11Rik,1700052K11Rik
ENSMUSG00000020694,Tlk2,Tlk2
ENSMUSG00000020695,Mrc2,Mrc2
ENSMUSG00000078627,March10,March10
ENSMUSG00000086487,Gm11638,Gm11638
ENSMUSG00000086089,Gm11640,Gm11640
ENSMUSG00000053580,Tanc2,Tanc2
ENSMUSG00000019590,Cyb561,Cyb561
ENSMUSG00000085297,Gm11651,Gm11651
ENSMUSG00000020681,Ace,Ace
ENSMUSG00000001901,Kcnh6,Kcnh6
ENSMUSG00000049354,Dcaf7,Dcaf7
ENSMUSG00000085033,Gm11646,Gm11646
ENSMUSG00000085255,Taco1os,Taco1os
ENSMUSG00000001983,Taco1,Taco1
ENSMUSG00000020700,Map3k3,Map3k3
ENSMUSG00000085229,Gm11672,Gm11672
ENSMUSG00000040699,Limd2,Limd2
ENSMUSG00000069631,Strada,Strada
ENSMUSG00000078622,Ccdc47,Ccdc47
ENSMUSG00000020705,Ddx42,Ddx42
ENSMUSG00000020706,Ftsj3,Ftsj3
ENSMUSG00000020708,Psmc5,Psmc5
ENSMUSG00000078619,Smarcd2,Smarcd2
ENSMUSG00000020712,Tcam1,Tcam1
ENSMUSG00000020713,Gh,Gh
ENSMUSG00000040592,Cd79b,Cd79b
ENSMUSG00000001027,Scn4a,Scn4a
ENSMUSG00000009210,Prr29,Prr29
ENSMUSG00000001029,Icam2,Icam2
ENSMUSG00000020715,Ern1,Ern1
ENSMUSG00000040548,Tex2,Tex2
ENSMUSG00000020717,Pecam1,Pecam1
ENSMUSG00000040528,Milr1,Milr1
ENSMUSG00000020718,Polg2,Polg2
ENSMUSG00000020719,Ddx5,Ddx5
ENSMUSG00000018372,Cep95,Cep95
ENSMUSG00000084930,Gm11706,Gm11706
ENSMUSG00000018363,Smurf2,Smurf2
ENSMUSG00000086481,Gm11707,Gm11707
ENSMUSG00000018362,Kpna2,Kpna2
ENSMUSG00000078607,1810010H24Rik,1810010H24Rik
ENSMUSG00000040481,Bptf,Bptf
ENSMUSG00000087596,Gm11715,Gm11715
ENSMUSG00000018433,Nol11,Nol11
ENSMUSG00000040430,Pitpnc1,Pitpnc1
ENSMUSG00000086298,Gm11716,Gm11716
ENSMUSG00000087683,Gm11712,Gm11712
ENSMUSG00000085245,Gm11713,Gm11713
ENSMUSG00000087113,Gm11714,Gm11714
ENSMUSG00000020720,Psmd12,Psmd12
ENSMUSG00000086442,Gm11722,Gm11722
ENSMUSG00000085864,C330019F10Rik,C330019F10Rik
ENSMUSG00000059706,A830035A12Rik,A830035A12Rik
ENSMUSG00000020721,Helz,Helz
ENSMUSG00000020722,Cacng1,Cacng1
ENSMUSG00000020723,Cacng4,Cacng4
ENSMUSG00000087184,Gm11650,Gm11650
ENSMUSG00000040373,Cacng5,Cacng5
ENSMUSG00000050965,Prkca,Prkca
ENSMUSG00000086078,Gm11657,Gm11657
ENSMUSG00000084978,Gm11655,Gm11655
ENSMUSG00000000049,Apoh,Apoh
ENSMUSG00000084916,Gm11656,Gm11656
ENSMUSG00000020728,Cep112,Cep112
ENSMUSG00000086761,Cep112os1,Cep112os1
ENSMUSG00000085811,Cep112it,Cep112it
ENSMUSG00000000142,Axin2,Axin2
ENSMUSG00000086268,Gm11670,Gm11670
ENSMUSG00000078605,E030025P04Rik,E030025P04Rik
ENSMUSG00000020599,Rgs9,Rgs9
ENSMUSG00000099630,1700096J18Rik,1700096J18Rik
ENSMUSG00000056687,Gm11696,Gm11696
ENSMUSG00000020611,Gna13,Gna13
ENSMUSG00000045065,9930022D16Rik,9930022D16Rik
ENSMUSG00000020610,Amz2,Amz2
ENSMUSG00000085326,Gm15642,Gm15642
ENSMUSG00000041920,Slc16a6,Slc16a6
ENSMUSG00000020604,Arsg,Arsg
ENSMUSG00000041895,Wipi1,Wipi1
ENSMUSG00000086733,Gm11685,Gm11685
ENSMUSG00000020612,Prkar1a,Prkar1a
ENSMUSG00000020614,Fam20a,Fam20a
ENSMUSG00000085734,Gm11684,Gm11684
ENSMUSG00000020617,1700012B07Rik,1700012B07Rik
ENSMUSG00000087139,Gm11683,Gm11683
ENSMUSG00000087393,1700023C21Rik,1700023C21Rik
ENSMUSG00000020620,Abca8b,Abca8b
ENSMUSG00000085629,Gm11697,Gm11697
ENSMUSG00000041828,Abca8a,Abca8a
ENSMUSG00000041797,Abca9,Abca9
ENSMUSG00000044749,Abca6,Abca6
ENSMUSG00000018800,Abca5,Abca5
ENSMUSG00000020623,Map2k6,Map2k6
ENSMUSG00000085985,Gm11682,Gm11682
ENSMUSG00000051497,Kcnj16,Kcnj16
ENSMUSG00000041695,Kcnj2,Kcnj2
ENSMUSG00000086752,Gm11674,Gm11674
ENSMUSG00000085324,Gm11680,Gm11680
ENSMUSG00000041674,BC006965,BC006965
ENSMUSG00000000567,Sox9,Sox9
ENSMUSG00000075437,Gm11681,Gm11681
ENSMUSG00000020624,4933434M16Rik,4933434M16Rik
ENSMUSG00000087259,2610035D17Rik,2610035D17Rik
ENSMUSG00000085421,4732490B19Rik,4732490B19Rik
ENSMUSG00000041654,Slc39a11,Slc39a11
ENSMUSG00000047904,Sstr2,Sstr2
ENSMUSG00000018661,Cog1,Cog1
ENSMUSG00000041629,Fam104a,Fam104a
ENSMUSG00000041623,D11Wsu47e,D11Wsu47e
ENSMUSG00000018727,Cpsf4l,Cpsf4l
ENSMUSG00000041598,Cdc42ep4,Cdc42ep4
ENSMUSG00000041592,Sdk2,Sdk2
ENSMUSG00000086760,1700025D23Rik,1700025D23Rik
ENSMUSG00000086135,1700001J04Rik,1700001J04Rik
ENSMUSG00000078600,1700092K14Rik,1700092K14Rik
ENSMUSG00000085844,Gm11690,Gm11690
ENSMUSG00000075431,Gm11691,Gm11691
ENSMUSG00000062391,4932435O22Rik,4932435O22Rik
ENSMUSG00000057322,Rpl38,Rpl38
ENSMUSG00000034714,Ttyh2,Ttyh2
ENSMUSG00000034706,Dnaic2,Dnaic2
ENSMUSG00000010021,Kif19a,Kif19a
ENSMUSG00000000202,Btbd17,Btbd17
ENSMUSG00000034677,Gpr142,Gpr142
ENSMUSG00000051043,Gprc5c,Gprc5c
ENSMUSG00000034652,Cd300a,Cd300a
ENSMUSG00000063193,Cd300lb,Cd300lb
ENSMUSG00000058728,Cd300c,Cd300c
ENSMUSG00000034641,Cd300ld,Cd300ld
ENSMUSG00000044811,Cd300c2,Cd300c2
ENSMUSG00000089753,Cd300ld2,Cd300ld2
ENSMUSG00000069609,Cd300ld4,Cd300ld4
ENSMUSG00000089722,Cd300ld5,Cd300ld5
ENSMUSG00000069607,Cd300ld3,Cd300ld3
ENSMUSG00000048498,Cd300e,Cd300e
ENSMUSG00000020732,Rab37,Rab37
ENSMUSG00000047798,Cd300lf,Cd300lf
ENSMUSG00000020733,Slc9a3r1,Slc9a3r1
ENSMUSG00000015542,Nat9,Nat9
ENSMUSG00000045980,Tmem104,Tmem104
ENSMUSG00000020734,Grin2c,Grin2c
ENSMUSG00000018861,Fdxr,Fdxr
ENSMUSG00000044788,Fads6,Fads6
ENSMUSG00000050201,Otop2,Otop2
ENSMUSG00000045288,Ush1g,Ush1g
ENSMUSG00000018862,Otop3,Otop3
ENSMUSG00000034586,Hid1,Hid1
ENSMUSG00000050910,Cdr2l,Cdr2l
ENSMUSG00000018858,Mrpl58,Mrpl58
ENSMUSG00000085072,Ict1os,Ict1os
ENSMUSG00000034566,Atp5h,Atp5h
ENSMUSG00000016940,Kctd2,Kctd2
ENSMUSG00000070332,Trim80,Trim80
ENSMUSG00000085651,Gm11695,Gm11695
ENSMUSG00000045775,Slc16a5,Slc16a5
ENSMUSG00000057219,Armc7,Armc7
ENSMUSG00000020736,Nt5c,Nt5c
ENSMUSG00000020737,Jpt1,Jpt1
ENSMUSG00000020738,Sumo2,Sumo2
ENSMUSG00000020739,Nup85,Nup85
ENSMUSG00000020740,Gga3,Gga3
ENSMUSG00000046756,Mrps7,Mrps7
ENSMUSG00000020743,Mif4gd,Mif4gd
ENSMUSG00000020744,Slc25a19,Slc25a19
ENSMUSG00000059923,Grb2,Grb2
ENSMUSG00000020747,Tmem94,Tmem94
ENSMUSG00000034471,Caskin2,Caskin2
ENSMUSG00000020781,Tsen54,Tsen54
ENSMUSG00000020782,Llgl2,Llgl2
ENSMUSG00000034427,Myo15b,Myo15b
ENSMUSG00000020752,Recql5,Recql5
ENSMUSG00000048442,Smim5,Smim5
ENSMUSG00000075420,Smim6,Smim6
ENSMUSG00000087072,Recql5os1,Recql5os1
ENSMUSG00000020755,Sap30bp,Sap30bp
ENSMUSG00000087064,Sap30bpos,Sap30bpos
ENSMUSG00000020758,Itgb4,Itgb4
ENSMUSG00000020766,Galk1,Galk1
ENSMUSG00000016559,H3f3b,H3f3b
ENSMUSG00000020770,Unk,Unk
ENSMUSG00000057948,Unc13d,Unc13d
ENSMUSG00000034341,Wbp2,Wbp2
ENSMUSG00000020773,Trim47,Trim47
ENSMUSG00000054517,Trim65,Trim65
ENSMUSG00000020775,Mrpl38,Mrpl38
ENSMUSG00000020776,Fbf1,Fbf1
ENSMUSG00000020777,Acox1,Acox1
ENSMUSG00000020778,Ten1,Ten1
ENSMUSG00000034282,Evpl,Evpl
ENSMUSG00000020780,Srp68,Srp68
ENSMUSG00000020793,Galr2,Galr2
ENSMUSG00000020792,Exoc7,Exoc7
ENSMUSG00000034227,Foxj1,Foxj1
ENSMUSG00000052949,Rnf157,Rnf157
ENSMUSG00000050628,Ubald2,Ubald2
ENSMUSG00000070331,Qrich2,Qrich2
ENSMUSG00000086826,Gm11739,Gm11739
ENSMUSG00000015869,Prpsap1,Prpsap1
ENSMUSG00000100779,Gm29292,Gm29292
ENSMUSG00000061878,Sphk1,Sphk1
ENSMUSG00000020802,Ube2o,Ube2o
ENSMUSG00000020804,Aanat,Aanat
ENSMUSG00000020806,Rhbdf2,Rhbdf2
ENSMUSG00000020810,Cygb,Cygb
ENSMUSG00000075410,Prcd,Prcd
ENSMUSG00000020812,Snhg16,Snhg16
ENSMUSG00000057286,St6galnac2,St6galnac2
ENSMUSG00000110170,St6galnac2,St6galnac2 ENSMUSG00000110170
ENSMUSG00000056032,BC018473,BC018473
ENSMUSG00000009588,St6galnac1,St6galnac1
ENSMUSG00000020814,Mxra7,Mxra7
ENSMUSG00000056962,Jmjd6,Jmjd6
ENSMUSG00000090266,Mettl23,Mettl23
ENSMUSG00000034120,Srsf2,Srsf2
ENSMUSG00000020818,Mfsd11,Mfsd11
ENSMUSG00000043857,Mgat5b,Mgat5b
ENSMUSG00000086902,Gm11728,Gm11728
ENSMUSG00000085104,Gm11731,Gm11731
ENSMUSG00000086859,Snhg20,Snhg20
ENSMUSG00000087057,Gm11730,Gm11730
ENSMUSG00000020823,Sec14l1,Sec14l1
ENSMUSG00000059248,Sept9,Sept9
ENSMUSG00000086050,Gm16045,Gm16045
ENSMUSG00000086588,Gm11729,Gm11729
ENSMUSG00000085336,Gm11732,Gm11732
ENSMUSG00000110653,Gm34418,Gm34418
ENSMUSG00000069588,Gm11733,Gm11733
ENSMUSG00000085419,Gm11734,Gm11734
ENSMUSG00000054418,2900041M22Rik,2900041M22Rik
ENSMUSG00000025571,Tnrc6c,Tnrc6c
ENSMUSG00000025572,Tmc6,Tmc6
ENSMUSG00000050106,Tmc8,Tmc8
ENSMUSG00000087486,Gm11723,Gm11723
ENSMUSG00000087669,Gm11724,Gm11724
ENSMUSG00000025573,6030468B19Rik,6030468B19Rik
ENSMUSG00000048277,Syngr2,Syngr2
ENSMUSG00000025574,Tk1,Tk1
ENSMUSG00000017718,Afmid,Afmid
ENSMUSG00000017716,Birc5,Birc5
ENSMUSG00000070330,Tmem235,Tmem235
ENSMUSG00000017713,Tha1,Tha1
ENSMUSG00000085434,Gm11725,Gm11725
ENSMUSG00000053113,Socs3,Socs3
ENSMUSG00000017715,Pgs1,Pgs1
ENSMUSG00000033987,Dnah17,Dnah17
ENSMUSG00000085511,Gm11738,Gm11738
ENSMUSG00000017132,Cyth1,Cyth1
ENSMUSG00000033909,Usp36,Usp36
ENSMUSG00000017466,Timp2,Timp2
ENSMUSG00000076433,Cep295nl,Cep295nl
ENSMUSG00000033880,Lgals3bp,Lgals3bp
ENSMUSG00000025575,Cant1,Cant1
ENSMUSG00000017446,C1qtnf1,C1qtnf1
ENSMUSG00000086514,Gm11747,Gm11747
ENSMUSG00000087036,Gm11748,Gm11748
ENSMUSG00000033857,Engase,Engase
ENSMUSG00000025576,Rbfox3,Rbfox3
ENSMUSG00000085059,Gm11750,Gm11750
ENSMUSG00000084887,Gm11749,Gm11749
ENSMUSG00000046697,Enpp7,Enpp7
ENSMUSG00000025577,Cbx2,Cbx2
ENSMUSG00000025578,Cbx8,Cbx8
ENSMUSG00000039989,Cbx4,Cbx4
ENSMUSG00000086306,Gm11754,Gm11754
ENSMUSG00000086547,Gm11755,Gm11755
ENSMUSG00000039976,Tbc1d16,Tbc1d16
ENSMUSG00000085548,Gm11753,Gm11753
ENSMUSG00000087404,Gm11752,Gm11752
ENSMUSG00000039963,Ccdc40,Ccdc40
ENSMUSG00000025579,Gaa,Gaa
ENSMUSG00000025580,Eif4a3,Eif4a3
ENSMUSG00000013483,Card14,Card14
ENSMUSG00000005043,Sgsh,Sgsh
ENSMUSG00000039908,Slc26a11,Slc26a11
ENSMUSG00000070327,Rnf213,Rnf213
ENSMUSG00000109408,A930037H05Rik,A930037H05Rik
ENSMUSG00000039850,Endov,Endov
ENSMUSG00000025582,Nptx1,Nptx1
ENSMUSG00000087675,Gm11762,Gm11762
ENSMUSG00000025583,Rptor,Rptor
ENSMUSG00000085081,Rptoros,Rptoros
ENSMUSG00000025371,Chmp6,Chmp6
ENSMUSG00000085207,Gm11767,Gm11767
ENSMUSG00000086924,Gm11766,Gm11766
ENSMUSG00000025372,Baiap2,Baiap2
ENSMUSG00000025375,Aatk,Aatk
ENSMUSG00000039781,Cep131,Cep131
ENSMUSG00000025377,Tepsin,Tepsin
ENSMUSG00000078572,Ndufaf8,Ndufaf8
ENSMUSG00000061306,Slc38a10,Slc38a10
ENSMUSG00000085636,Gm11769,Gm11769
ENSMUSG00000075389,2810410L24Rik,2810410L24Rik
ENSMUSG00000086750,Gm11770,Gm11770
ENSMUSG00000043993,2900052L18Rik,2900052L18Rik
ENSMUSG00000039741,Bahcc1,Bahcc1
ENSMUSG00000085501,Gm11772,Gm11772
ENSMUSG00000062825,Actg1,Actg1
ENSMUSG00000043644,0610009L18Rik,0610009L18Rik
ENSMUSG00000025380,Fscn2,Fscn2
ENSMUSG00000025384,Faap100,Faap100
ENSMUSG00000039703,Nploc4,Nploc4
ENSMUSG00000039691,Tspan10,Tspan10
ENSMUSG00000025386,Pde6g,Pde6g
ENSMUSG00000039670,Oxld1,Oxld1
ENSMUSG00000049957,Ccdc137,Ccdc137
ENSMUSG00000057594,Arl16,Arl16
ENSMUSG00000025793,Hgs,Hgs
ENSMUSG00000039640,Mrpl12,Mrpl12
ENSMUSG00000086929,Gm11788,Gm11788
ENSMUSG00000025792,Slc25a10,Slc25a10
ENSMUSG00000084983,Gm11789,Gm11789
ENSMUSG00000025127,Gcgr,Gcgr
ENSMUSG00000061111,Mcrip1,Mcrip1
ENSMUSG00000025129,Ppp1r27,Ppp1r27
ENSMUSG00000025130,P4hb,P4hb
ENSMUSG00000025132,Arhgdia,Arhgdia
ENSMUSG00000025134,Alyref,Alyref
ENSMUSG00000025135,Anapc11,Anapc11
ENSMUSG00000044034,Npb,Npb
ENSMUSG00000025137,Pcyt2,Pcyt2
ENSMUSG00000025138,Sirt7,Sirt7
ENSMUSG00000051510,Mafg,Mafg
ENSMUSG00000025140,Pycr1,Pycr1
ENSMUSG00000025141,Myadml2,Myadml2
ENSMUSG00000084822,Myadml2os,Myadml2os
ENSMUSG00000042988,Notum,Notum
ENSMUSG00000053613,Notumos,Notumos
ENSMUSG00000025142,Aspscr1,Aspscr1
ENSMUSG00000090758,Gm17178,Gm17178
ENSMUSG00000025144,Cenpx,Cenpx
ENSMUSG00000025145,Lrrc45,Lrrc45
ENSMUSG00000018012,Rac3,Rac3
ENSMUSG00000039450,Dcxr,Dcxr
ENSMUSG00000025150,Cbr2,Cbr2
ENSMUSG00000078249,Hmga1b,Hmga1b
ENSMUSG00000025158,Rfng,Rfng
ENSMUSG00000025156,Gps1,Gps1
ENSMUSG00000025155,Dus1l,Dus1l
ENSMUSG00000025153,Fasn,Fasn
ENSMUSG00000048445,Ccdc57,Ccdc57
ENSMUSG00000087638,Gm11773,Gm11773
ENSMUSG00000025161,Slc16a3,Slc16a3
ENSMUSG00000025162,Csnk1d,Csnk1d
ENSMUSG00000100629,Gm28192,Gm28192
ENSMUSG00000086835,Gm11775,Gm11775
ENSMUSG00000025163,Cd7,Cd7
ENSMUSG00000039364,Sectm1b,Sectm1b
ENSMUSG00000025165,Sectm1a,Sectm1a
ENSMUSG00000084853,Gm11791,Gm11791
ENSMUSG00000039337,Tex19.2,Tex19.2
ENSMUSG00000039329,Tex19.1,Tex19.1
ENSMUSG00000039321,Uts2r,Uts2r
ENSMUSG00000025169,Ogfod3,Ogfod3
ENSMUSG00000039307,Hexdc,Hexdc
ENSMUSG00000039294,Cybc1,Cybc1
ENSMUSG00000000056,Narf,Narf
ENSMUSG00000039275,Foxk2,Foxk2
ENSMUSG00000025173,Wdr45b,Wdr45b
ENSMUSG00000025170,Rab40b,Rab40b
ENSMUSG00000039253,Fn3krp,Fn3krp
ENSMUSG00000025175,Fn3k,Fn3k
ENSMUSG00000039230,Tbcd,Tbcd
ENSMUSG00000039238,Zfp750,Zfp750
ENSMUSG00000046605,B3gntl1,B3gntl1
ENSMUSG00000039208,Metrnl,Metrnl
ENSMUSG00000085126,Gm12589,Gm12589
ENSMUSG00000099690,Gm29513,Gm29513
ENSMUSG00000085970,Gm15643,Gm15643
ENSMUSG00000039198,Ptchd3,Ptchd3
ENSMUSG00000086684,Gm12590,Gm12590
ENSMUSG00000079179,Rab10os,Rab10os
ENSMUSG00000020671,Rab10,Rab10
ENSMUSG00000097429,Gm26520,Gm26520
ENSMUSG00000020668,Kif3c,Kif3c
ENSMUSG00000112308,Gm48512,Gm48512
ENSMUSG00000071456,1110002L01Rik,1110002L01Rik
ENSMUSG00000037486,Asxl2,Asxl2
ENSMUSG00000071454,Dtnb,Dtnb
ENSMUSG00000092286,Dtnbos,Dtnbos
ENSMUSG00000020661,Dnmt3a,Dnmt3a
ENSMUSG00000073242,Dnmt3aos,Dnmt3aos
ENSMUSG00000020660,Pomc,Pomc
ENSMUSG00000020658,Efr3b,Efr3b
ENSMUSG00000112517,Gm48001,Gm48001
ENSMUSG00000020657,Dnajc27,Dnajc27
ENSMUSG00000020654,Adcy3,Adcy3
ENSMUSG00000020652,Cenpo,Cenpo
ENSMUSG00000096199,Ptrhd1,Ptrhd1
ENSMUSG00000111916,4921501I09Rik,4921501I09Rik
ENSMUSG00000020647,Ncoa1,Ncoa1
ENSMUSG00000111938,2900045O20Rik,2900045O20Rik
ENSMUSG00000112422,Gm31938,Gm31938
ENSMUSG00000112819,Gm46332,Gm46332
ENSMUSG00000112505,Gm48610,Gm48610
ENSMUSG00000118449,AC241534.1,AC241534.1
ENSMUSG00000020640,Itsn2,Itsn2
ENSMUSG00000111971,Gm48678,Gm48678
ENSMUSG00000079177,Fam228a,Fam228a
ENSMUSG00000050545,Fam228b,Fam228b
ENSMUSG00000020639,Pfn4,Pfn4
ENSMUSG00000037361,Sf3b6,Sf3b6
ENSMUSG00000020635,Fkbp1b,Fkbp1b
ENSMUSG00000051721,Wdcp,Wdcp
ENSMUSG00000037336,Mfsd2b,Mfsd2b
ENSMUSG00000020634,Ubxn2a,Ubxn2a
ENSMUSG00000052812,Atad2b,Atad2b
ENSMUSG00000020627,Klhl29,Klhl29
ENSMUSG00000037735,2810032G03Rik,2810032G03Rik
ENSMUSG00000112404,Gm32442,Gm32442
ENSMUSG00000112454,Gm48619,Gm48619
ENSMUSG00000102096,1700101O22Rik,1700101O22Rik
ENSMUSG00000112323,Gm32828,Gm32828
ENSMUSG00000112006,Gm48633,Gm48633
ENSMUSG00000020609,Apob,Apob
ENSMUSG00000112694,Gm33037,Gm33037
ENSMUSG00000037669,Ldah,Ldah
ENSMUSG00000112441,Gm48898,Gm48898
ENSMUSG00000037660,Gdf7,Gdf7
ENSMUSG00000020605,Hs1bp3,Hs1bp3
ENSMUSG00000111889,Gm48071,Gm48071
ENSMUSG00000112452,Gm48075,Gm48075
ENSMUSG00000054364,Rhob,Rhob
ENSMUSG00000112276,5033421B08Rik,5033421B08Rik
ENSMUSG00000020600,Slc7a15,Slc7a15
ENSMUSG00000020594,Pum2,Pum2
ENSMUSG00000096940,Gm4755,Gm4755
ENSMUSG00000020592,Sdc1,Sdc1
ENSMUSG00000042976,9930038B18Rik,9930038B18Rik
ENSMUSG00000112891,Gm47391,Gm47391
ENSMUSG00000020585,Laptm4a,Laptm4a
ENSMUSG00000020583,Matn3,Matn3
ENSMUSG00000066643,Wdr35,Wdr35
ENSMUSG00000066637,Ttc32,Ttc32
ENSMUSG00000113913,Gm46323,Gm46323
ENSMUSG00000114000,Gm48762,Gm48762
ENSMUSG00000112496,Gm48764,Gm48764
ENSMUSG00000099360,1700022H16Rik,1700022H16Rik
ENSMUSG00000048387,Osr1,Osr1
ENSMUSG00000112787,Gm48790,Gm48790
ENSMUSG00000111925,Gm48791,Gm48791
ENSMUSG00000020622,Nt5c1b,Nt5c1b
ENSMUSG00000020621,Rdh14,Rdh14
ENSMUSG00000112792,Gm38407,Gm38407
ENSMUSG00000113620,7420701I03Rik,7420701I03Rik
ENSMUSG00000043673,Kcns3,Kcns3
ENSMUSG00000112041,9530020I12Rik,9530020I12Rik
ENSMUSG00000047002,Msgn1,Msgn1
ENSMUSG00000051235,Gen1,Gen1
ENSMUSG00000020608,Smc6,Smc6
ENSMUSG00000054459,Vsnl1,Vsnl1
ENSMUSG00000097841,4930511A02Rik,4930511A02Rik
ENSMUSG00000086022,Rad51ap2,Rad51ap2
ENSMUSG00000113226,Gm47808,Gm47808
ENSMUSG00000113013,Gm47833,Gm47833
ENSMUSG00000113330,Gm34237,Gm34237
ENSMUSG00000020589,Fam49a,Fam49a
ENSMUSG00000114136,4921511I17Rik,4921511I17Rik
ENSMUSG00000091430,Platr19,Platr19
ENSMUSG00000113363,Gm48187,Gm48187
ENSMUSG00000097627,4930519A11Rik,4930519A11Rik
ENSMUSG00000113465,Gm40271,Gm40271
ENSMUSG00000037169,Mycn,Mycn
ENSMUSG00000113220,Gm35208,Gm35208
ENSMUSG00000113928,Gm48209,Gm48209
ENSMUSG00000112988,Gm35298,Gm35298
ENSMUSG00000113284,Gm48213,Gm48213
ENSMUSG00000037149,Ddx1,Ddx1
ENSMUSG00000020576,Nbas,Nbas
ENSMUSG00000113058,Gm48311,Gm48311
ENSMUSG00000113666,Gm35725,Gm35725
ENSMUSG00000113283,Gm35890,Gm35890
ENSMUSG00000113522,Gm48479,Gm48479
ENSMUSG00000114026,Gm48480,Gm48480
ENSMUSG00000020607,Lratd1,Lratd1
ENSMUSG00000113336,Gm16497,Gm16497
ENSMUSG00000113644,4930448C13Rik,4930448C13Rik
ENSMUSG00000113734,Gm48539,Gm48539
ENSMUSG00000020601,Trib2,Trib2
ENSMUSG00000097580,Gm5432,Gm5432
ENSMUSG00000113629,Gm48558,Gm48558
ENSMUSG00000113739,Gm48584,Gm48584
ENSMUSG00000113930,Gm36235,Gm36235
ENSMUSG00000113735,Gm48607,Gm48607
